,repo,week,commits,total commits
613,chaco,42,0.0,51.0
614,chaco,43,0.0,51.0
615,chaco,44,0.0,51.0
616,chaco,45,0.0,51.0
617,chaco,46,2.0,51.0
618,chaco,47,0.0,51.0
619,chaco,48,10.0,51.0
620,chaco,49,0.0,51.0
621,chaco,50,0.0,51.0
622,chaco,51,1.0,51.0
623,chaco,52,0.0,51.0
624,networkx,1,24.0,283.0
625,networkx,2,14.0,283.0
626,networkx,3,4.0,283.0
627,networkx,4,18.0,283.0
628,networkx,5,1.0,283.0
629,networkx,6,9.0,283.0
630,networkx,7,7.0,283.0
631,networkx,8,4.0,283.0
632,networkx,9,3.0,283.0
633,networkx,10,1.0,283.0
634,networkx,11,3.0,283.0
635,networkx,12,2.0,283.0
636,networkx,13,2.0,283.0
637,networkx,14,3.0,283.0
638,networkx,15,17.0,283.0
639,networkx,16,9.0,283.0
640,networkx,17,1.0,283.0
641,networkx,18,4.0,283.0
642,networkx,19,0.0,283.0
643,networkx,20,0.0,283.0
644,networkx,21,11.0,283.0
645,networkx,22,7.0,283.0
646,networkx,23,9.0,283.0
647,networkx,24,4.0,283.0
648,networkx,25,6.0,283.0
649,networkx,26,2.0,283.0
650,networkx,27,3.0,283.0
651,networkx,28,2.0,283.0
652,networkx,29,2.0,283.0
653,networkx,30,2.0,283.0
654,networkx,31,1.0,283.0
655,networkx,32,0.0,283.0
656,networkx,33,2.0,283.0
657,networkx,34,0.0,283.0
658,networkx,35,1.0,283.0
659,networkx,36,0.0,283.0
660,networkx,37,3.0,283.0
661,networkx,38,6.0,283.0
662,networkx,39,0.0,283.0
663,networkx,40,1.0,283.0
664,networkx,41,6.0,283.0
665,networkx,42,8.0,283.0
666,networkx,43,4.0,283.0
667,networkx,44,9.0,283.0
668,networkx,45,2.0,283.0
669,networkx,46,14.0,283.0
670,networkx,47,7.0,283.0
671,networkx,48,9.0,283.0
672,networkx,49,11.0,283.0
673,networkx,50,9.0,283.0
674,networkx,51,12.0,283.0
675,networkx,52,4.0,283.0
676,ipyvolume,1,48.0,180.0
677,ipyvolume,2,0.0,180.0
678,ipyvolume,3,2.0,180.0
679,ipyvolume,4,5.0,180.0
680,ipyvolume,5,1.0,180.0
681,ipyvolume,6,0.0,180.0
682,ipyvolume,7,4.0,180.0
683,ipyvolume,8,0.0,180.0
684,ipyvolume,9,9.0,180.0
685,ipyvolume,10,0.0,180.0
686,ipyvolume,11,4.0,180.0
687,ipyvolume,12,0.0,180.0
688,ipyvolume,13,0.0,180.0
689,ipyvolume,14,0.0,180.0
690,ipyvolume,15,1.0,180.0
691,ipyvolume,16,8.0,180.0
692,ipyvolume,17,4.0,180.0
693,ipyvolume,18,1.0,180.0
694,ipyvolume,19,0.0,180.0
695,ipyvolume,20,0.0,180.0
696,ipyvolume,21,2.0,180.0
697,ipyvolume,22,0.0,180.0
698,ipyvolume,23,5.0,180.0
699,ipyvolume,24,8.0,180.0
700,ipyvolume,25,0.0,180.0
701,ipyvolume,26,2.0,180.0
702,ipyvolume,27,0.0,180.0
703,ipyvolume,28,9.0,180.0
704,ipyvolume,29,0.0,180.0
705,ipyvolume,30,0.0,180.0
706,ipyvolume,31,6.0,180.0
707,ipyvolume,32,8.0,180.0
708,ipyvolume,33,0.0,180.0
709,ipyvolume,34,5.0,180.0
710,ipyvolume,35,4.0,180.0
711,ipyvolume,36,2.0,180.0
712,ipyvolume,37,0.0,180.0
713,ipyvolume,38,8.0,180.0
714,ipyvolume,39,4.0,180.0
715,ipyvolume,40,1.0,180.0
716,ipyvolume,41,2.0,180.0
717,ipyvolume,42,0.0,180.0
718,ipyvolume,43,9.0,180.0
719,ipyvolume,44,0.0,180.0
720,ipyvolume,45,0.0,180.0
721,ipyvolume,46,3.0,180.0
722,ipyvolume,47,2.0,180.0
723,ipyvolume,48,12.0,180.0
724,ipyvolume,49,0.0,180.0
725,ipyvolume,50,1.0,180.0
726,ipyvolume,51,0.0,180.0
727,ipyvolume,52,0.0,180.0
728,vaex,1,1.0,453.0
729,vaex,2,0.0,453.0
730,vaex,3,3.0,453.0
731,vaex,4,0.0,453.0
732,vaex,5,0.0,453.0
733,vaex,6,4.0,453.0
734,vaex,7,49.0,453.0
735,vaex,8,22.0,453.0
736,vaex,9,35.0,453.0
737,vaex,10,70.0,453.0
738,vaex,11,5.0,453.0
739,vaex,12,10.0,453.0
740,vaex,13,0.0,453.0
741,vaex,14,0.0,453.0
742,vaex,15,0.0,453.0
743,vaex,16,17.0,453.0
744,vaex,17,8.0,453.0
745,vaex,18,36.0,453.0
746,vaex,19,4.0,453.0
747,vaex,20,4.0,453.0
748,vaex,21,29.0,453.0
749,vaex,22,0.0,453.0
750,vaex,23,1.0,453.0
751,vaex,24,0.0,453.0
752,vaex,25,2.0,453.0
753,vaex,26,6.0,453.0
754,vaex,27,1.0,453.0
755,vaex,28,0.0,453.0
756,vaex,29,0.0,453.0
757,vaex,30,0.0,453.0
758,vaex,31,2.0,453.0
759,vaex,32,8.0,453.0
760,vaex,33,0.0,453.0
761,vaex,34,2.0,453.0
762,vaex,35,19.0,453.0
763,vaex,36,48.0,453.0
764,vaex,37,8.0,453.0
765,vaex,38,0.0,453.0
766,vaex,39,14.0,453.0
767,vaex,40,19.0,453.0
768,vaex,41,14.0,453.0
769,vaex,42,1.0,453.0
770,vaex,43,0.0,453.0
771,vaex,44,0.0,453.0
772,vaex,45,7.0,453.0
773,vaex,46,3.0,453.0
774,vaex,47,1.0,453.0
775,vaex,48,0.0,453.0
776,vaex,49,0.0,453.0
777,vaex,50,0.0,453.0
778,vaex,51,0.0,453.0
779,vaex,52,0.0,453.0
780,glumpy,1,0.0,42.0
781,glumpy,2,0.0,42.0
782,glumpy,3,0.0,42.0
783,glumpy,4,0.0,42.0
784,glumpy,5,4.0,42.0
785,glumpy,6,0.0,42.0
786,glumpy,7,0.0,42.0
787,glumpy,8,0.0,42.0
788,glumpy,9,0.0,42.0
789,glumpy,10,0.0,42.0
790,glumpy,11,0.0,42.0
791,glumpy,12,0.0,42.0
